Feature,Importance
Feature_27,0.257591949739489
Feature_11,0.18191747890451546
Feature_0,0.07050579989985352
Feature_2,0.06567679959963965
Feature_171,0.06318998643729758
Feature_3,0.049485790265224414
Feature_6,0.04579450101349756
Feature_1,0.0449222184068681
Feature_4,0.04467950401221113
Feature_13,0.035100619634354256
Feature_12,0.033927973540494316
Feature_7,0.02969235978584705
Feature_5,0.013722138363788494
Feature_25,0.010547643747252403
Feature_8,0.008286478575998568
Feature_20,0.005925667625599728
Feature_22,0.005780212258347283
Feature_14,0.004712602651231461
Feature_54,0.0041268544798606175
Feature_17,0.004028168465222846
Feature_141,0.003381232322061484
Feature_24,0.0023666490274960325
Feature_16,0.0019855349739197523
Feature_15,0.0015170042136302888
Feature_130,0.0014928772041914022
Feature_19,0.0011956296103143558
Feature_21,0.0010403609310928718
Feature_52,0.0009052431083732648
Feature_79,0.0008926855659773858
Feature_70,0.000784753645874991
Feature_9,0.0007341521703220307
Feature_10,0.0005716736424132309
Feature_66,0.0005511331352667422
Feature_26,0.000493726734026143
Feature_134,0.00047321955895957436
Feature_71,0.00022496824198962355
Feature_35,0.00021569338627299534
Feature_142,0.00020273279644837975
Feature_111,0.00017012858686783191
Feature_122,0.000145101732265118
Feature_118,9.95711567391924e-05
Feature_67,9.268453511778157e-05
Feature_33,8.888965083544899e-05
Feature_147,7.238833237035642e-05
Feature_146,7.044001097935692e-05
Feature_31,5.7456069175143356e-05
Feature_32,5.6731129083738953e-05
Feature_155,4.907278127908333e-05
Feature_47,4.896804707393376e-05
Feature_76,4.443049786188743e-05
Feature_23,4.1380128095808016e-05
Feature_158,4.108701751748592e-05
Feature_30,4.06203922520217e-05
Feature_75,3.853524500704764e-05
Feature_144,1.9231784718865187e-05
Feature_80,1.812761099170761e-05
Feature_56,1.740566862513136e-05
Feature_139,1.7293715865845855e-05
Feature_34,1.575310735230363e-05
Feature_163,1.2482038924643507e-05
Feature_18,1.2446484776615952e-05
Feature_29,9.256883570655627e-06
Feature_157,9.159510825207104e-06
Feature_81,7.677919115083305e-06
Feature_105,7.6426367762382e-06
Feature_72,7.373258927193626e-06
Feature_78,6.454156892196487e-06
Feature_77,5.641561817381019e-06
Feature_84,2.650734262689548e-06
Feature_53,2.6295699904298323e-06
Feature_69,2.6066832352380394e-06
Feature_123,2.5258993602986656e-06
Feature_74,2.2676566428088982e-06
Feature_162,2.2185088605785463e-06
Feature_49,2.1823014756216233e-06
Feature_28,2.162970909166805e-06
Feature_73,1.8712446683842144e-06
Feature_127,1.7706501323002776e-06
Feature_140,1.6749613158323217e-06
Feature_149,8.961022467614967e-07
Feature_153,7.567619748618608e-07
Feature_82,6.732771686017328e-07
Feature_48,6.008150263114908e-07
Feature_115,6.003482946956893e-07
Feature_156,5.664336494523569e-07
Feature_143,5.357681700107375e-07
Feature_121,4.695515655277796e-07
Feature_131,4.1273586801533264e-07
Feature_40,3.7834542294142906e-07
Feature_120,3.160457829195455e-07
Feature_166,2.2963103301808798e-07
Feature_119,2.0414139247378785e-07
Feature_145,1.9687189105980422e-07
Feature_128,1.8258743639328297e-07
Feature_50,1.7096457242660137e-07
Feature_65,1.4133161868662466e-07
Feature_164,1.3497626076538635e-07
Feature_126,1.0545387673471764e-07
Feature_86,8.143867440326083e-08
Feature_124,8.117087774037163e-08
Feature_132,7.064865157440832e-08
Feature_129,6.441696719665196e-08
Feature_148,6.438452631837728e-08
Feature_159,3.028176139646623e-08
Feature_103,2.136876735939736e-08
Feature_152,3.354180586329626e-09
Feature_125,2.845642765205907e-10
Feature_36,0.0
Feature_43,0.0
Feature_42,0.0
Feature_41,0.0
Feature_39,0.0
Feature_37,0.0
Feature_38,0.0
Feature_104,0.0
Feature_106,0.0
Feature_107,0.0
Feature_94,0.0
Feature_97,0.0
Feature_96,0.0
Feature_93,0.0
Feature_92,0.0
Feature_90,0.0
Feature_91,0.0
Feature_87,0.0
Feature_85,0.0
Feature_89,0.0
Feature_88,0.0
Feature_83,0.0
Feature_45,0.0
Feature_44,0.0
Feature_51,0.0
Feature_59,0.0
Feature_58,0.0
Feature_64,0.0
Feature_63,0.0
Feature_60,0.0
Feature_61,0.0
Feature_62,0.0
Feature_68,0.0
Feature_55,0.0
Feature_57,0.0
Feature_46,0.0
Feature_102,0.0
Feature_100,0.0
Feature_101,0.0
Feature_98,0.0
Feature_99,0.0
Feature_95,0.0
Feature_114,0.0
Feature_112,0.0
Feature_110,0.0
Feature_108,0.0
Feature_113,0.0
Feature_116,0.0
Feature_117,0.0
Feature_138,0.0
Feature_137,0.0
Feature_136,0.0
Feature_135,0.0
Feature_133,0.0
Feature_109,0.0
Feature_150,0.0
Feature_151,0.0
Feature_154,0.0
Feature_161,0.0
Feature_160,0.0
Feature_165,0.0
Feature_167,0.0
Feature_168,0.0
Feature_169,0.0
Feature_170,0.0
