Feature,Importance,Original_Feature
categorical__mrg_NO,0.0,mrg_NO
categorical__top_pack_305155009,0.0,top_pack_305155009
categorical__top_pack_200F=10mnOnNetValid1H,0.0,top_pack_200F=10mnOnNetValid1H
categorical__top_pack_200=unlimited pilot auto,0.0,top_pack_200=unlimited pilot auto
categorical__top_pack_150=unlimited pilot auto,0.0,top_pack_150=unlimited pilot auto
categorical__top_pack_1000=Unlimited7Day,0.0,top_pack_1000=Unlimited7Day
categorical__top_pack_1500=Unlimited7Day,0.0,top_pack_1500=Unlimited7Day
categorical__top_pack_FNF_Youth_ESN,0.0,top_pack_FNF_Youth_ESN
categorical__top_pack_GPRS_3000Equal10GPORTAL,0.0,top_pack_GPRS_3000Equal10GPORTAL
categorical__top_pack_GPRS_5Go_7D_PORTAL,0.0,top_pack_GPRS_5Go_7D_PORTAL
categorical__top_pack_EVC_4900=12000F,0.0,top_pack_EVC_4900=12000F
categorical__top_pack_EVC_JOKKO30,0.0,top_pack_EVC_JOKKO30
categorical__top_pack_EVC_700Mo,0.0,top_pack_EVC_700Mo
categorical__top_pack_EVC_1Go,0.0,top_pack_EVC_1Go
categorical__top_pack_EVC_100Mo,0.0,top_pack_EVC_100Mo
categorical__top_pack_Data_Mifi_20Go,0.0,top_pack_Data_Mifi_20Go
categorical__top_pack_ESN_POSTPAID_CLASSIC_RENT,0.0,top_pack_ESN_POSTPAID_CLASSIC_RENT
categorical__top_pack_Data_EVC_2Go24H,0.0,top_pack_Data_EVC_2Go24H
categorical__top_pack_Data:New-GPRS_PKG_1500F,0.0,top_pack_Data:New-GPRS_PKG_1500F
categorical__top_pack_Data_Mifi_10Go_Monthly,0.0,top_pack_Data_Mifi_10Go_Monthly
categorical__top_pack_Data_Mifi_10Go,0.0,top_pack_Data_Mifi_10Go
"categorical__top_pack_Data:700F=SPPackage1,7d",0.0,"top_pack_Data:700F=SPPackage1,7d"
categorical__top_pack_APANews_monthly,0.0,top_pack_APANews_monthly
categorical__top_pack_500=Unlimited3Day,0.0,top_pack_500=Unlimited3Day
